Brand,Model,Year,Horsepower,kwh,EngineCount,Price,Color,KilometerCount
Tesla,Model 3 Long Range,2022,353,75,2 Electric,600000,Blue,
Nissan,Leaf,2021,147,40,1 Electric,350000,Silver,
Chevrolet,Bolt EV,2023,200,66,1 Electric,400000,Red,
BMW,i4,2022,335,83.9,2 Electric,700000,White,
Jaguar,I-PACE,2019,394,90,2 Electric,600000,Black,
Audi,Q4 e-tron,2023,201,82,2 Electric,550000,Gray,
Porsche,Taycan,2020,616,93.4,2 Electric,900000,Green,
Hyundai,Kona Electric,2021,201,64,1 Electric,450000,Blue,
Ford,Mustang Mach-E,2022,480,88,2 Electric,600000,Yellow,
Kia,Soul EV,2023,201,64,1 Electric,380000,Orange,
Volkswagen,ID.4,2021,201,82,1 Electric,450000,Silver,
Rivian,R1T,2022,750,135,4 Electric,800000,Black,
Lucid,Motors Air,2020,503,113,2 Electric,1000000,White,
Tesla,Model X Long Range,2023,670,105,2 Electric,900000,Red,
Polestar,2,2019,408,78,2 Electric,600000,Gray,
Mercedes-Benz,EQS,2022,516,107.8,2 Electric,1200000,Blue,
Audi,e-tron GT,2021,522,93.4,2 Electric,900000,Green,
Tesla,Model Y Long Range,2020,507,75,2 Electric,650000,Black,
Nissan,Ariya,2023,389,87,2 Electric,550000,Silver,
Ford,F-150 Lightning,2021,563,98.4,2 Electric,700000,White,